emotion,n_samples,approach,arousal,attention,certainty,commitment,control,dominance,effort,fairness,identity,obstruction,safety,upswing,valence
Admiration,432,6.8842592592592595,6.3657407407407405,7.539351851851852,7.164351851851852,5.643518518518518,5.951388888888889,5.731481481481482,6.215277777777778,5.486111111111111,5.534722222222222,2.3680555555555554,6.546296296296297,6.3217592592592595,7.530092592592593
Adoration,123,7.59349593495935,4.642276422764228,6.626016260162602,7.715447154471545,5.032520325203252,5.585365853658536,5.276422764227642,3.2601626016260163,5.691056910569106,5.878048780487805,1.6016260162601625,8.21951219512195,6.186991869918699,8.21951219512195
Aesthetic-Appreciation,470,6.268085106382979,4.963829787234043,7.048936170212766,7.193617021276595,3.6659574468085108,5.534042553191489,5.261702127659574,3.842553191489362,5.074468085106383,4.651063829787234,1.9340425531914893,7.425531914893617,5.14468085106383,7.440425531914894
Amusement,711,6.3924050632911396,6.156118143459915,7.053445850914206,6.445850914205344,3.9817158931082983,5.111111111111111,5.209563994374121,4.4360056258790435,5.156118143459915,4.644163150492265,2.6343178621659633,6.617440225035161,6.008438818565401,7.2545710267229255
Anger,25,3.36,7.28,7.48,6.12,5.04,3.52,3.92,5.56,2.44,4.04,6.8,2.68,2.28,2.4
Anxiety,110,2.7545454545454544,7.927272727272728,8.236363636363636,3.536363636363636,4.790909090909091,2.5636363636363635,2.4454545454545453,6.2727272727272725,4.1454545454545455,3.5727272727272728,6.909090909090909,2.081818181818182,2.7181818181818183,2.4545454545454546
Awe,242,5.785123966942149,7.305785123966942,8.37190082644628,5.93801652892562,5.2190082644628095,4.545454545454546,4.384297520661157,5.987603305785124,5.078512396694215,5.181818181818182,3.0330578512396693,4.404958677685951,5.2809917355371905,6.210743801652892
Awkwardness,159,4.90566037735849,5.911949685534591,6.754716981132075,5.113207547169812,3.3836477987421385,3.9245283018867925,4.251572327044025,4.389937106918239,4.80503144654088,3.8364779874213837,3.710691823899371,5.433962264150943,4.981132075471698,5.735849056603773
Boredom,11,3.090909090909091,3.1818181818181817,4.2727272727272725,5.454545454545454,2.6363636363636362,4.636363636363637,4.363636363636363,3.4545454545454546,4.818181818181818,3.4545454545454546,4.636363636363637,6.545454545454546,2.4545454545454546,3.6363636363636362
Calmness,293,5.924914675767918,3.737201365187713,6.464163822525597,7.4709897610921505,3.795221843003413,5.839590443686006,5.3720136518771335,2.962457337883959,5.337883959044369,5.068259385665529,1.7201365187713311,7.853242320819112,4.774744027303754,7.460750853242321
